assists, blocks, defensive rebounds, field goals attempted, field goals made, fouls, free throws attempted, free throws made, minutes, name, offensive rebounds, plus minus, points, position, rebounds, steals, three pointers attempted, three pointers made, turnovers
2,0,0,5,1,2,0,0,22,Tyronn Lue,0,,2,,0,0,1,0,0
,,,,,,,,0,Dikembe Mutombo,,,,,,,,,
0,0,0,0,0,0,0,0,1,Ryan Bowen,0,,0,,0,0,0,0,0
4,0,5,16,3,1,6,3,33,Tony Parker,0,,10,G,5,2,4,1,2
2,0,9,17,11,3,8,8,37,Tim Duncan,5,,30,F,14,0,1,0,3
1,1,0,7,2,1,0,0,28,Bruce Bowen,0,,5,F,0,0,2,1,2
1,0,5,3,2,5,0,0,18,Malik Rose,4,,4,,9,2,0,0,1
3,0,8,12,7,3,9,8,28,Manu Ginobili,1,,24,G,9,3,3,2,3
1,0,1,3,1,3,0,0,9,Devin Brown,0,,2,,1,0,1,0,0
1,1,5,9,4,3,1,0,27,Rasho Nesterovic,7,,8,C,12,0,0,0,2
0,0,1,0,0,1,0,0,7,Robert Horry,0,,0,,1,0,0,0,0
3,2,1,9,6,0,2,1,32,Brent Barry,1,,16,,2,1,6,3,0
2,0,0,3,0,1,0,0,15,Beno Udrih,0,,0,,0,0,1,0,2
0,2,1,3,1,1,0,0,5,Tony Massenburg,0,,2,,1,0,0,0,1
1,0,0,0,0,0,0,0,1,Mike Wilks,0,,0,,0,0,0,0,0
2,0,0,8,1,3,0,0,13,Bobby Jackson,0,,2,,0,0,3,0,1
3,1,4,14,5,3,4,3,41,Peja Stojakovic,0,,15,F,4,2,3,2,1
4,1,7,22,7,2,4,4,35,Chris Webber,2,,18,F,9,2,1,0,4
2,0,2,7,4,0,0,0,20,Doug Christie,1,,8,G,3,2,0,0,2
3,0,3,13,9,3,4,4,43,Mike Bibby,0,,23,G,3,1,1,1,3
3,0,5,6,3,4,0,0,33,Brad Miller,3,,6,C,8,0,0,0,2
0,0,3,1,1,0,3,3,14,Darius Songaila,0,,5,,3,0,0,0,0
0,0,0,2,1,0,2,2,10,Maurice Evans,0,,4,,0,0,0,0,0
2,1,3,5,1,3,2,2,22,Matt Barnes,1,,4,,4,1,0,0,0
0,1,0,1,0,3,0,0,8,Greg Ostertag,2,,0,,2,0,0,0,1
0,0,0,0,0,0,0,0,1,Kevin Martin,0,,0,,0,0,0,0,0
,,,,,,,,0,Erik Daniels,,,,,,,,,
1,0,2,10,7,1,2,1,25,Joe Johnson,0,,17,G,2,1,4,2,1
2,2,7,9,5,3,1,0,25,Shawn Marion,2,,10,F,9,3,0,0,2
1,2,4,13,9,0,6,5,30,Amare Stoudemire,4,,23,C,8,1,0,0,0
0,0,1,5,3,0,4,4,17,Casey Jacobsen,0,,10,,1,2,1,0,2
1,1,6,4,3,1,2,0,15,Jake Voskuhl,4,,6,,10,0,0,0,1
3,0,1,9,3,5,2,1,24,Leandro Barbosa,1,,9,,2,0,5,2,2
0,0,3,8,2,3,2,2,17,Maciej Lampe,4,,6,,7,0,0,0,5
4,0,3,12,6,2,0,0,24,Steve Nash,0,,12,G,3,2,2,0,3
1,1,7,9,2,4,0,0,27,Quentin Richardson,0,,4,F,7,2,6,0,1
1,1,3,5,2,4,0,0,16,Jackson Vroman,2,,4,,5,1,0,0,3
1,0,0,3,1,1,4,4,10,Yuta Tabuse,0,,7,,0,0,1,1,1
0,1,1,2,2,2,2,0,10,Steven Hunter,0,,4,,1,1,0,0,0
